neg,neu,pos,image
0.16044897,0.322774,0.51677704,../../../images/500px_cc0/images/242215175_Guy_enjoying_sunset.jpg
0.22190535,0.43413508,0.3439596,../../../images/500px_cc0/images/258577687_blossom.jpg
0.11100937,0.27563572,0.61335486,../../../images/500px_cc0/images/268021827_Decksteiner_Weiher.jpg
0.5473139,0.14406884,0.30861723,../../../images/500px_cc0/images/154312333_Defocused_focusing.jpg
0.048498247,0.78862256,0.16287917,../../../images/500px_cc0/images/1003502191_Flat_lay_of_business_concept.jpg
0.115268975,0.39091286,0.4938182,../../../images/500px_cc0/images/1011015165_Anemone-.jpg
0.29985374,0.27790722,0.42223904,../../../images/500px_cc0/images/223658055_Rocks.jpg
0.35134676,0.3508291,0.2978241,../../../images/500px_cc0/images/168899139_Giant_Universe.jpg
0.123391025,0.50202185,0.3745872,../../../images/500px_cc0/images/223477547_Untitled.jpg
0.23943733,0.45087016,0.30969253,../../../images/500px_cc0/images/243189027_Cars_plugged-in_at_a_charging_pole_2_.jpg
0.1315119,0.60565335,0.2628347,../../../images/500px_cc0/images/175868717_Shine_Bright_in_Midst_of_Darkness.jpg
0.17047712,0.29101107,0.53851175,../../../images/500px_cc0/images/107140907_Tagetes.jpg
0.17282788,0.31168905,0.5154831,../../../images/500px_cc0/images/140186005_Buildings-PicLiberum_com_0016.jpg
0.10708438,0.5761053,0.31681028,../../../images/500px_cc0/images/130002303_Boat.jpg
0.25506958,0.37311378,0.37181666,../../../images/500px_cc0/images/79225887_Happy_Socks.jpg
0.1678817,0.6734221,0.15869619,../../../images/500px_cc0/images/178594907_broken_wing.jpg
0.11873565,0.21421784,0.6670465,../../../images/500px_cc0/images/302137935_Cherry_Blossom.jpg
0.039266285,0.28214866,0.6785851,../../../images/500px_cc0/images/260395297_cyanus_segetum.jpg
0.30354428,0.4798964,0.21655937,../../../images/500px_cc0/images/208819201_Let_me_never_imagine_I_am_something..jpg
0.06122703,0.7027615,0.23601149,../../../images/500px_cc0/images/130002537_Park.jpg
0.48278585,0.22698279,0.29023135,../../../images/500px_cc0/images/194697987_Family.jpg
0.3224189,0.5046863,0.17289487,../../../images/500px_cc0/images/130002607_Sky.jpg
0.06684608,0.3127419,0.620412,../../../images/500px_cc0/images/149163029_Pygmy_Iris_Apro_noszirom_Iris_pumila.jpg
0.28834543,0.23085642,0.48079818,../../../images/500px_cc0/images/122238161_something.jpg
0.4967941,0.26620236,0.23700356,../../../images/500px_cc0/images/79225885_green_grasshopper.jpg
0.24318624,0.41960883,0.33720496,../../../images/500px_cc0/images/246333743_.jpg
0.047919765,0.8081438,0.1439364,../../../images/500px_cc0/images/211975699_rocks_to_climb.jpg
0.26148975,0.42713457,0.31137568,../../../images/500px_cc0/images/225428903_6_51_PM.jpg
0.35352293,0.15030919,0.4961678,../../../images/500px_cc0/images/107284033_Center_parcs.jpg
0.69570524,0.08304416,0.2212506,../../../images/500px_cc0/images/269063663_The_sleeping_beauty_photo-manipulation.jpg
0.41880888,0.24250586,0.33868527,../../../images/500px_cc0/images/252755949_It_comes.jpg
0.2651393,0.39069664,0.34416398,../../../images/500px_cc0/images/85841637_j.jpg
0.41765344,0.25145096,0.3308955,../../../images/500px_cc0/images/200479769_Mark.jpg
0.26185358,0.55923134,0.17891507,../../../images/500px_cc0/images/79030825_MM17B-0807_Rettilineo.jpg
0.10464685,0.3325428,0.5628103,../../../images/500px_cc0/images/223595995_Rocks_and_Blue.jpg
0.034836683,0.81918055,0.14598274,../../../images/500px_cc0/images/78892113_Valkenswaard.jpg
0.45643505,0.14288056,0.40068442,../../../images/500px_cc0/images/135558441_Pizza.jpg
0.88849086,0.09616928,0.015339846,../../../images/500px_cc0/images/130003073_Old_plane.jpg
0.070330545,0.33549517,0.59417427,../../../images/500px_cc0/images/1011015217_Anemone-.jpg
0.09658574,0.2239674,0.6794468,../../../images/500px_cc0/images/130002571_View.jpg
0.27858254,0.5714809,0.14993662,../../../images/500px_cc0/images/139398057_Snow-PicLiberum_com_0011.jpg
0.18370618,0.5404142,0.27587962,../../../images/500px_cc0/images/78892111_Deventer.jpg
0.11658292,0.45910165,0.42431545,../../../images/500px_cc0/images/240030093_Image_1_18_1_2_copy.jpg
0.20095241,0.27684018,0.5222074,../../../images/500px_cc0/images/223545123_Untitled.jpg
0.15205257,0.38452458,0.46342286,../../../images/500px_cc0/images/238116245_Bratwurst.jpg
0.24451861,0.26586276,0.48961866,../../../images/500px_cc0/images/223545133_Untitled.jpg
0.23079582,0.5137309,0.25547335,../../../images/500px_cc0/images/179537679_coffee_and_tea_and_film.jpg
0.40432733,0.32965848,0.26601428,../../../images/500px_cc0/images/200230489_Mark.jpg
0.21021885,0.27010185,0.51967937,../../../images/500px_cc0/images/79226115_Nematobrycon_palmeri.jpg
0.34260333,0.15415801,0.5032387,../../../images/500px_cc0/images/252376423_Blackjack_in_der_aufregenden_Welt_der_Film-und_Spielhelden.jpg
0.19652292,0.34499097,0.45848608,../../../images/500px_cc0/images/265815759_Blue_blossom.jpg
0.2676517,0.40721548,0.32513282,../../../images/500px_cc0/images/146001191_Sarlos_baberpafrany_Cyrtomium_falcatum_House_holly-fern_or_Japanese_holly_fern.jpg
0.4401164,0.42185137,0.13803221,../../../images/500px_cc0/images/205689063_please_be_quiet.jpg
0.44625583,0.418104,0.1356403,../../../images/500px_cc0/images/291131203_Ancient_Clock_wind_Tower_of_Andronikos.jpg
0.16620861,0.29280168,0.54098976,../../../images/500px_cc0/images/116213163_Tagetes.jpg
0.21005788,0.40674606,0.3831961,../../../images/500px_cc0/images/148674963_How_could_a_wise_man_sincerely_believe_that_the_formless_Existence_is_affected_by_forms?.jpg
0.21428299,0.42294252,0.3627745,../../../images/500px_cc0/images/181321917_Mark_in_the_city.jpg
0.6245453,0.19385101,0.18160373,../../../images/500px_cc0/images/223768047_Light_and_Shadow.jpg
0.43536517,0.27539772,0.28923717,../../../images/500px_cc0/images/112540029_2-Euro.jpg
0.1262825,0.5648135,0.30890396,../../../images/500px_cc0/images/287765263_Bring_the_Light.jpg
0.056112695,0.30891773,0.63496953,../../../images/500px_cc0/images/260200183_bee_on_gilia_capitata.jpg
0.55033207,0.18968128,0.25998664,../../../images/500px_cc0/images/246435479_IMG.jpg
0.6935539,0.22226143,0.08418467,../../../images/500px_cc0/images/100327907_some_days_in_winter.jpg
0.69192386,0.1873558,0.120720364,"../../../images/500px_cc0/images/287661197_Art_in_Cities,_Athens,_Greece-CC0_Royalty_free.jpg"
0.08412954,0.22468075,0.69118977,../../../images/500px_cc0/images/139228681_Leaf-PicLiberum.com_0003.jpg
0.51894945,0.17022637,0.31082425,../../../images/500px_cc0/images/286547725_Greek_Graffiti_noRape_noGirlRape.jpg
0.12904178,0.36388704,0.5070712,../../../images/500px_cc0/images/289002539_graffiti.jpg
0.5227312,0.3659021,0.11136668,../../../images/500px_cc0/images/198969039_rain.jpg
0.08327483,0.20459609,0.7121291,../../../images/500px_cc0/images/220028869_Sunset.jpg
0.15482524,0.5493783,0.29579648,../../../images/500px_cc0/images/244984497_striped.jpg
0.47894365,0.40786174,0.11319453,../../../images/500px_cc0/images/219813943_Dead_Guardian.jpg
0.15136306,0.36855724,0.48007962,../../../images/500px_cc0/images/231554495_green_tomatoes.jpg
0.04518016,0.7880236,0.16679625,../../../images/500px_cc0/images/84886855_Canadian_Silver.jpg
0.16717985,0.42569047,0.40712965,../../../images/500px_cc0/images/219870271_Balaton.jpg
0.4554812,0.31904402,0.22547479,../../../images/500px_cc0/images/287755583_Human_Catastrophic_Dominion.jpg
0.11946027,0.32861584,0.5519239,../../../images/500px_cc0/images/80515617_Center_Parcs-De_Kempervennen.jpg
